id,name,cin,city,created_at,postal_code,street,street_number,updated_at,uri
429319,Materská škola 972 16 Pravenec,318434,,2019-07-07T04:01:45.369Z,,,,2019-07-07T04:01:45.369Z,ico://sk/00318434_10001
429320,"Stredná odborná škola, Sládkovičova 120, Snina",37878247,Snina,2019-07-07T04:01:45.373Z,06901,Sládkovičova,120,2019-07-07T04:01:45.373Z,ico://sk/37878247
429321,Slovenská technická univerzita v Bratislave –ÚZ Študentské domovy a jedálne,397687,Bratislava - mestská časť Staré Mesto,2019-07-07T04:01:45.377Z,811 07,Bernolákova,1,2019-07-07T04:01:45.377Z,ico://sk/00397687_97
429322,"Základná umelecká škola, Školská 1, Ľubica",42238749,Ľubica,2019-07-07T04:01:45.381Z,05971,Školská,1,2019-07-07T04:01:45.381Z,ico://sk/42238749
429323,"Súkromná pedagogická a sociálna akadémia, Ružová dolina 29, Bratislava",30868645,Bratislava - mestská časť Ružinov,2019-07-07T04:01:45.385Z,82109,Ružová dolina,29,2019-07-07T04:01:45.385Z,ico://sk/30868645
429324,"Základná škola, Školská 2, Holíč",37838326,Holíč,2019-07-07T04:01:45.389Z,90851,Školská,2,2019-07-07T04:01:45.389Z,ico://sk/37838326
429325,Základná umelecká škola v Handlovej,36126845,Handlová,2019-07-07T04:01:45.393Z,97251,Poštová,58,2019-07-07T04:01:45.393Z,ico://sk/36126845
429326,Centrum biológie rastlín a biodiverzity SAV,679089,Bratislava - mestská časť Karlova Ves,2019-07-07T04:01:45.397Z,84523,Dúbravská cesta,9,2019-07-07T04:01:45.397Z,ico://sk/00679089
429327,"Súkromná základná umelecká škola VOLCANO, Lipová 8, Handlová",42141508,Handlová,2019-07-07T04:01:45.401Z,97251,Lipová,8,2019-07-07T04:01:45.401Z,ico://sk/42141508
429328,Obec Husiná,318817,Husiná,2019-07-07T04:01:45.405Z,98542,,157,2019-07-07T04:01:45.405Z,ico://sk/00318817
429329,"Súkromná materská škola, Jesenského 10246/1A, Martin",37981927,Martin,2019-07-07T04:01:45.409Z,03601,Jesenského,1A,2019-07-07T04:01:45.409Z,ico://sk/37981927
429330,"Materská škola, Malinovského 874, Krupina",42308763,Krupina,2019-07-07T04:01:45.413Z,96301,Malinovského,21,2019-07-07T04:01:45.413Z,ico://sk/42308763
429331,Základná škola s materskou školou Pavla Ušáka Olivu Kátlovce 195,37836544,Kátlovce,2019-07-07T04:01:45.422Z,91955,,195,2019-07-07T04:01:45.422Z,ico://sk/37836544
429332,"Základná škola, Družicová 4, Košice",31263127,Košice - mestská časť Nad jazerom,2019-07-07T04:01:45.426Z,04012,Družicová,4,2019-07-07T04:01:45.426Z,ico://sk/31263127
429333,"Základná škola, Pavla Horova 16, Bratislava",36067334,Bratislava - mestská časť Devínska Nová Ves,2019-07-07T04:01:45.430Z,84107,Pavla Horova,16,2019-07-07T04:01:45.430Z,ico://sk/36067334
429334,"Obec Kochanovce, okres Bardejov",322148,Hankovce,2019-07-07T04:01:45.434Z,08646,,,2019-07-07T04:01:45.434Z,ico://sk/00322148
429335,"JUDr. Ondrej Ďuriač, notár",50679743,Bratislava - mestská časť Staré Mesto,2019-07-07T04:01:45.438Z,81108,Rajská,,2019-07-07T04:01:45.438Z,ico://sk/50679743
429336,"Súkromná základná škola pre žiakov s poruchami aktivity a pozornosti, Bernolákova 21, Prešov",42385440,Prešov,2019-07-07T04:01:45.441Z,08001,Bernolákova,,2019-07-07T04:01:45.441Z,ico://sk/42385440
429337,"Základná škola s materskou školou, Pod Hájom 967, Dubnica nad Váhom",35678119,Dubnica nad Váhom,2019-07-07T04:01:45.445Z,01841,Pod Hájom,,2019-07-07T04:01:45.445Z,ico://sk/35678119
429338,"Materská škola, Centrum II 72, Dubnica nad Váhom",37920332,Dubnica nad Váhom,2019-07-07T04:01:45.449Z,01841,Centrum II,,2019-07-07T04:01:45.449Z,ico://sk/37920332
429339,Materská škola Staškov 364,37903021,Staškov,2019-07-07T04:01:45.453Z,02353,,,2019-07-07T04:01:45.453Z,ico://sk/37903021
429340,"Materská škola, Smetanova 11, Košice",35557338,Košice - mestská časť Juh,2019-07-07T04:01:45.457Z,04003,Smetanova,11,2019-07-07T04:01:45.457Z,ico://sk/35557338
429341,"Základná škola, Sladkovičova 487, Gemerská Poloma",35543736,Gemerská Poloma,2019-07-07T04:01:45.461Z,04922,Sládkovičova,487,2019-07-07T04:01:45.461Z,ico://sk/35543736
429342,Základná škola s materskou školou Visolaje 150,42276675,Visolaje,2019-07-07T04:01:45.465Z,01861,,150,2019-07-07T04:01:45.465Z,ico://sk/42276675
429343,"Základná škola, Ul. Vajanského 2844/47, Lučenec",37833995,Lučenec,2019-07-07T04:01:45.469Z,98401,Ul. Vajanského,47,2019-07-07T04:01:45.469Z,ico://sk/37833995
429344,"Materská škola, Mládežnícka 13, Púchov",36129691,Púchov,2019-07-07T04:01:45.473Z,02001,Mládežnícka,13,2019-07-07T04:01:45.473Z,ico://sk/36129691
