_id,ICO,URI,Nazov,Dátum poslednej aktualizácie: 30.6.2019
916,324591,ico://sk/00324591,Obec Paňovce,
917,48485357,ico://sk/48485357_00422,"Správca - Pekár Bernard, JUDr. Ing., PhD.",
918,326950,ico://sk/00326950_01,Materská škola Demjata,
919,31072016,ico://sk/31072016_10001,OJ_nováTest,
920,321265,ico://sk/00321265,Obec Fačkov,
921,17331927,ico://sk/17331927_3040,Inšpektorát Slovenskej obchodnej inšpekcie v Nitre pre Nitriansky kraj,
922,330647,ico://sk/00330647,Obec Krušinec,
923,38440,ico://sk/00038440,Obec Ladice,
924,161195,ico://sk/00161195,"Gymnázium, Školská 7, Spišská Nová Ves",
925,36094188,ico://sk/36094188,"Základná škola, Komenského 2, Vrbové",
926,330591,ico://sk/00330591,Obec Krajná Bystrá,
927,650064,ico://sk/00650064,Obec Ratkovská Suchá,
928,48485357,ico://sk/48485357_00126,"Správca - Hudoba Igor, JUDr. Ing.",
1263,319228,ico://sk/00319228,Obec Balog nad Ipľom,
929,37836412,ico://sk/37836412,"Základná škola Móra Kóczána s VJM, Hlavná 258, Čiližská Radvaň",
930,324159,ico://sk/00324159_10001,Materská škola Gyňov,
931,37812998,ico://sk/37812998,"Základná škola SNP, Mládeže 289, Strečno",
932,325601,ico://sk/00325601,"Obec Petrovce, okres Sobrance",
933,35995904,ico://sk/35995904,"Základná škola Jana Amosa Komenského, Komenského 50, Púchov",
934,36165875,ico://sk/36165875_10001,ceprvpssl,
935,329941,ico://sk/00329941,"Obec Kamienka, okres Stará Ľubovňa",
936,48485357,ico://sk/48485357_00274,"Správca - Vrška Pavel, Mgr.",
937,30794536,ico://sk/30794536_0017,"Ústredie práce, sociálnych vecí a rodiny, Úrad práce, sociálnych vecí a rodiny Nové Zámky",
938,607339,ico://sk/00607339,Stredná zdravotnícka škola - Egészségügyi Középiskola Nové Zámky,
939,310603,ico://sk/00310603,Obec Krnča,
940,30845572,ico://sk/30845572_0008,"Ministerstvo obrany SR, Úrad centrálnej logistiky",
941,37831577,ico://sk/37831577,Základná škola s materskou školou Cinobaňa,
942,48485357,ico://sk/48485357_00133,"Správca - Guťan Milan, JUDr.",
943,328073,ico://sk/00328073,Obec Župčany,
944,317730,ico://sk/00317730,Obec Pružina,
945,316130,ico://sk/00316130,Obec Kokava nad Rimavicou,
946,42293090,ico://sk/42293090,"Mgr. Stanislava Palková, notár",
947,306223,ico://sk/00306223,Obec Tomášikovo,
948,328332,ico://sk/00328332,Obec Jablonov nad Turňou,
949,634883,ico://sk/00634883_2,Hygiena výživy,
950,321672,ico://sk/00321672,Obec Štiavnik,
951,37836366,ico://sk/37836366,"Základná umelecká škola, Dunajská Streda",
952,50349287,ico://sk/50349287,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,
953,36165808,ico://sk/36165808,Regionálna veterinárna a potravinová správa Humenné,
954,324523,ico://sk/00324523,Obec Nováčany,
955,52400948,ico://sk/52400948,"JUDr. Kristína Kováčová, notárka",
956,37836391,ico://sk/37836391,Základná škola Jánosa Aranya s vyučovacím jazykom maďarským Okoč,
957,307378,ico://sk/00307378_10001,Obec Plave Vozokany - matričný úrad,
958,50471627,ico://sk/50471627,"Základná škola s materskou školou, Lúčky 521",
959,692484,ico://sk/00692484,Obec Hatné,
960,314994,ico://sk/00314994,Obec Zábiedovo,
961,318825,ico://sk/00318825_10002,Školská jedáleň pri ZŠ s VJM Chanava,
962,323152,ico://sk/00323152,Obec Kolbasov,
963,37831488,ico://sk/37831488,"Základná škola, Trnavá Hora",
964,316245,ico://sk/00316245,Obec Mučín,
965,304557,ico://sk/00304557,Mestská časť Bratislava - Rača,
966,151866,ico://sk/00151866_11030,Okresné riaditeľstvo Policajného zboru v Nových Zámkoch,
967,318434,ico://sk/00318434_10001,Materská škola 972 16 Pravenec,
968,42156424,ico://sk/42156424_10031,Národná agentúra pre sieťové a elektronické služby: IS PEP,
969,36129879,ico://sk/36129879,"Základná škola, Kostolné 263",
970,37975081,ico://sk/37975081_0,"Materská škola, Tajovského 9, Martin",
971,35543710,ico://sk/35543710,"Základná škola Pokroková 199, Krásnohorské Podhradie",
972,37781375,ico://sk/37781375,Podduklianske osvetové stredisko vo Svidníku,
973,36131644,ico://sk/36131644,"Základná škola s materskou školou, Sverepec 240, Považská Bystrica",
974,48485357,ico://sk/48485357_00316,"Správca - Zemanovič Branislav, Mgr.",
975,31810250,ico://sk/31810250,Základná škola Jakubov 276,
976,690295,ico://sk/00690295,Obec Mokrance,
977,17070490,ico://sk/17070490,Špeciálna základná škola Humenné,
978,327344,ico://sk/00327344,Obec Lemešany,
979,310255,ico://sk/00310255,Obec Bošany,
980,164721,ico://sk/00164721,Slovenské národné múzeum,
981,17054389,ico://sk/17054389,Základná škola sv. Augustína,
982,31148531,ico://sk/31148531,"JUDr. Ing. Štefan Hrebík, exekútor",
983,48485357,ico://sk/48485357_00491,"Správca - Plechlo Juraj, JUDr. Ing.",
984,649392,ico://sk/00649392,Obec Brusník,
985,164861,ico://sk/00164861,Divadlo Nová scéna,
986,48485357,ico://sk/48485357_00521,"Správca - Insolvenčný správca, k. s.",
987,317519,ico://sk/00317519,Obec Mestečko,
988,31794858,ico://sk/31794858,Regionálna veterinárna a potravinová správa Senec,
989,37914961,ico://sk/37914961,"Materská škola, Požiarna 1291/26, Púchov",
990,34003517,ico://sk/34003517,Obec Lužianky,
991,37810375,ico://sk/37810375,Základná škola Bobrovec 490,
992,36080420,ico://sk/36080420,Základná škola Vilka Šuleka Hlohovec,
993,37797778,ico://sk/37797778,"JUDr. Eva Čabrová Dr., notár",
994,37840614,ico://sk/37840614,"Materská škola, Smuha 1, Borský Mikuláš",
995,17053846,ico://sk/17053846,Stredná odborná škola podnikania a služieb,
996,34076743,ico://sk/34076743,Obec Veľké Kozmálovce,
997,37838474,ico://sk/37838474,"Základná škola, Radošovce 338",
998,324663,ico://sk/00324663,"Obec Rudník, okres Košice-okolie",
999,36158933,ico://sk/36158933,"Základná škola s materskou školou, Koškovce 134",
1000,37812955,ico://sk/37812955,Základná škola s materskou školou Krušetnica,
1001,48485357,ico://sk/48485357_00487,"Správca - Sopko Hana, JUDr., LL.M.",
1002,165689,ico://sk/00165689,Okresný súd Senica,
1003,326747,ico://sk/00326747,Obec Vydrník,
1004,35543167,ico://sk/35543167,Materská škola,
1005,304875,ico://sk/00304875,Obec Kuchyňa,
1006,35553189,ico://sk/35553189,"Súkromné gymnázium, Slavkovská 19, Kežmarok",
1007,313491,ico://sk/00313491,Obec Brusno,
1008,690333,ico://sk/00690333,Obec Opiná,
1009,304786,ico://sk/00304786,Obec Ivanka pri  Dunaji,
1010,306126,ico://sk/00306126,Obec Pata,
1011,37956469,ico://sk/37956469,Stredná odborná škola drevárska Lučenská cesta Zvolen,
1012,30796130,ico://sk/30796130,Špecializovaný trestný súd,
1013,34041991,ico://sk/34041991,Špeciálna základná škola Štúrovo,
1309,328677,ico://sk/00328677,Obec Rakovnica,
1014,42195390,ico://sk/42195390,"Súkromná základná škola pre žiakov s autizmom, Sokolská 109, Zvolen",
1015,36022047,ico://sk/36022047_10001,"Slovenský vodohospodársky podnik, Radničné námestie 8 Banská Štiavnica",
1016,309079,ico://sk/00309079_10001,"Materská škola - Óvoda - s vyučovacím jazykom maďarským, Malá nad Hronom 3",
1017,36128392,ico://sk/36128392,Základná škola Rybany 355,
1018,151866,ico://sk/00151866_11003,Okresné riaditeľstvo Policajného zboru v Bratislave II,
1019,310573,ico://sk/00310573_10001,Obec Kovarce - matričný úrad,
1020,42282799,ico://sk/42282799,"JUDr. Eleonóra Kohajdová, notár",
1021,648426,ico://sk/00648426,Obec Čremošné,
1022,329266,ico://sk/00329266,Obec Kolinovce,
1023,314650,ico://sk/00314650,Obec Medzibrodie nad Oravou,
1024,144959,ico://sk/00144959,Organizácia pre kultúru a verejné služby Raková,
1025,36129011,ico://sk/36129011,Cirkevná základná škola sv. Margity,
1026,37831496,ico://sk/37831496,"Základná škola, Vyhne 111",
1027,31756069,ico://sk/31756069,"JUDr. Ľubica Floriánová, notár",
1028,37810901,ico://sk/37810901,"Základná škola s materskou školou,Školská 49,Žilina",
1029,50537431,ico://sk/50537431,"Súkromná základná škola s vyučovacím jazykom slovenským a ruským, Strečnianska 20, Bratislava",
1030,318434,ico://sk/00318434,Obec Pravenec,
1031,31309585,ico://sk/31309585,Špeciálna základná škola,
1032,17078385,ico://sk/17078385,"Stredná odborná škola obchodov a služieb, Školská 4, Michalovce",
1033,37861301,ico://sk/37861301,Základná škola Škultétyho Nitra,
1034,632732,ico://sk/00632732,Obec Ďurčiná,
1035,316806,ico://sk/00316806_10001,Materská škola,
1036,331465,ico://sk/00331465,Mesto Čierna nad Tisou,
1037,305715,ico://sk/00305715,Obec Rohovce,
1038,309321,ico://sk/00309321,Obec Trávnica,
1039,326224,ico://sk/00326224,Obec Hranovnica,
1040,620891,ico://sk/00620891,Obec Malachov,
1041,308765,ico://sk/00308765,Obec Bánov,
1042,351768,ico://sk/00351768,"Nitrava, Zariadenie sociálnych služieb, Nitra",
1043,36125873,ico://sk/36125873,"Základná škola s materskou školou Rudolfa Hečku, Dolná Súča 252",
1044,324051,ico://sk/00324051,"Obec Čakanovce, okres Košice-okolie",
1045,304867,ico://sk/00304867,Obec Kostolište,
1046,306932,ico://sk/00306932,Obec Drženice,
1047,320692,ico://sk/00320692,Obec Ilija,
1048,151491,ico://sk/00151491,Kancelária Národnej rady SR,
1049,42279313,ico://sk/42279313,"Súkromná základná umelecká škola, Nová 525/2, Koš",
1050,42231728,ico://sk/42231728,"Základná škola s materskou školou, Kravany",
1051,42211981,ico://sk/42211981,Materská škola Lesná Kolárovo,
1052,37864068,ico://sk/37864068,"Základná škola s VJM - Alapiskola, Pozba",
1053,31785204,ico://sk/31785204,"Základná škola s materskou školou, Odborárska 2, Bratislava",
1054,322482,ico://sk/00322482,Obec Osikov,
1481,323641,ico://sk/00323641,Obec Topoľa,
1055,681881,ico://sk/00681881,"Súkromná stredná odborná škola, Exnárova 20, Bratislava",
1056,31787517,ico://sk/31787517,"Súkromná hotelová akadémia HaGMa, Biskupická 21, Bratislava",
1057,323055,ico://sk/00323055,Obec Jabloň,
1058,493562,ico://sk/00493562,"Spojená škola internátna, M. R. Štefánika 323/1, Trenčianska Teplá",
1059,36069655,ico://sk/36069655,Slovenská pedagogická knižnica,
1060,699217,ico://sk/00699217,Obec Ješkova Ves,
1061,305740,ico://sk/00305740_10001,Obec Topoľníky - matričný úrad,
1062,350311,ico://sk/00350311,Centrum pre deti a rodiny Dedina Mládeže,
1063,31298028,ico://sk/31298028,Spojená škola Vojenská Košice,
1064,36022047,ico://sk/36022047_02,SLOVENSKÝ VODOHOSPODÁRSKY PODNIK Odštepný závod Piešťany,
1065,42219957,ico://sk/42219957,"JUDr. Martin Píry, exekútor",
1066,650471,ico://sk/00650471,Obec Liešno,
1067,308439,ico://sk/00308439,Obec Močenok,
1068,306487,ico://sk/00306487,Obec Iža,
1069,328651,ico://sk/00328651,Obec Prihradzany,
1070,35995106,ico://sk/35995106,Centrum pre deti a rodiny Púchov,
1071,316695,ico://sk/00316695,Obec Horná Štubňa,
1072,326534,ico://sk/00326534,Obec Spišská Teplica,
1073,305693,ico://sk/00305693,Obec Sap,
1074,34058931,ico://sk/34058931,"Špeciálna základná škola, Pribinova 7, Nováky",
1075,313530,ico://sk/00313530,Obec Kordíky,
1076,151866,ico://sk/00151866_10114,Okresný úrad Košice - okolie,
1077,48485357,ico://sk/48485357_00228,"Správca - Michalička Miroslav, Mgr.",
1078,592099,ico://sk/00592099,Obec Abovce,
1079,42378338,ico://sk/42378338,"Súkromná základná umelecká škola, Vážska 399, Ladce",
1080,330582,ico://sk/00330582,Obec Kožuchovce,
1081,634786,ico://sk/00634786,Centrum pre deti a rodiny Liptovský Hrádok,
1082,37831470,ico://sk/37831470,"Základná škola Pavla Križku, Ulica Pavla Križku 392/8, Kremnica",
1083,37958071,ico://sk/37958071,Materská škola 1. mája Zvolen,
1084,35629932,ico://sk/35629932,Špeciálna základná škola Gbely,
1085,307661,ico://sk/00307661,Obec Vyškovce nad Ipľom,
1086,37975111,ico://sk/37975111,Materská škola Družstevná Martin,
1087,318604,ico://sk/00318604,Obec Bátka,
1088,320919,ico://sk/00320919,Obec Pitelová,
1089,51927403,ico://sk/51927403,"JUDr. Martin Palovčík, notár",
1090,50431498,ico://sk/50431498,"Základná škola s materskou školou Vladimíra Mináča Ul. 9. mája 718, Klenovec",
1091,48485357,ico://sk/48485357_00637,"Správca - Baulovič Tomáš, JUDr.",
1092,308447,ico://sk/00308447,Obec Sľažany,
1093,161578,ico://sk/00161578,Stredná priemyselná škola Martin,
1094,37836692,ico://sk/37836692,"Základná škola s materskou školou, Horné Saliby",
1095,42003784,ico://sk/42003784,"Súkromná stredná umelecká škola, Kyslá 214, Hodruša-Hámre",
1096,42041970,ico://sk/42041970,"JUDr. Peter Šulai, notár",
1097,48485357,ico://sk/48485357_00438,"Správca - Nízky Peter, JUDr.",
1098,37864394,ico://sk/37864394,"Základná škola Ul. sv. Michala 42, Levice",
1099,325309,ico://sk/00325309,"Obec Klokočov, okres Michalovce",
1100,330256,ico://sk/00330256,Obec Vislanka,
1101,738298,ico://sk/00738298,Ústav na výkon trestu odňatia slobody Želiezovce,
1102,165760,ico://sk/00165760,Okresný súd Liptovský Mikuláš,
1103,690929,ico://sk/00690929,Mestská časť Košice - Sever,
1104,36128376,ico://sk/36128376,"Základná umelecká škola, Poštová 809, Púchov",
1105,51950774,ico://sk/51950774,"Súkromná základná škola, Trnavská cesta 3421/39, Bratislava",
1106,37872869,ico://sk/37872869,"Základná škola s materskou školou, Hniezdne",
1107,37813072,ico://sk/37813072,Základná škola Gbeľany,
1108,330884,ico://sk/00330884,Obec Potoky,
1109,308081,ico://sk/00308081,Obec Jelšovce,
1110,610933,ico://sk/00610933,Regionálny úrad verejného zdravotníctva Trnava,
1111,325953,ico://sk/00325953,Obec Vinné,
1112,36133019,ico://sk/36133019,"František Radzo, exekútor",
1113,318981,ico://sk/00318981_10001,Obec Radnovce,
1114,37844474,ico://sk/37844474,"Mgr. Zuzana Ritter, exekútor",
1115,35927283,ico://sk/35927283_10001,"Asociácia pre rozhodcovské konanie z.z.p.o., Hlavné nám. 3, Bratislava",
1116,36086975,ico://sk/36086975,Vlastivedné múzeum Hlohovec,
1117,322903,ico://sk/00322903,Obec Čukalovce,
1118,331881,ico://sk/00331881,Obec Ruská,
1119,37860844,ico://sk/37860844,Základná škola Ányosa Jedlika s VJM Zemné,
1120,48485357,ico://sk/48485357_00601,"Správca - Reguli Lukáš, Mgr.",
1121,48485357,ico://sk/48485357_00218,"Správca - Gregor Kristián, Ing.",
1122,37831305,ico://sk/37831305,Základná škola Kriváň,
1123,48485357,ico://sk/48485357_00339,"Správca - Bako Jaroslav, JUDr.",
1124,36165794,ico://sk/36165794_10001,ceprvpsbj,
1125,31746632,ico://sk/31746632,"Spojená škola internátna Svrčia 6, Bratislava",
1126,800121,ico://sk/00800121,Obec Uhrovské Podhradie,
1127,151866,ico://sk/00151866_11050,Okresné riaditeľstvo Policajného zboru v Trnave,
1128,162451,ico://sk/00162451,Stredná odborná škola poľnohospodárstva a služieb na vidieku Trnava,
1129,17335817,ico://sk/17335817,Regionálny úrad verejného zdravotníctva Prievidza,
1130,37828452,ico://sk/37828452,"Základná škola s materskou školou, MPČĽ 35, Brezno",
1131,324931,ico://sk/00324931,Obec Vyšný Klátov,
1132,310000,ico://sk/00310000_10002,Základná škola Smrdáky,
1133,323624,ico://sk/00323624,Obec Svetlice,
1134,151742,ico://sk/00151742,Ministerstvo financií Slovenskej republiky,
1135,37867172,ico://sk/37867172,Základná škola Pribeta,
1136,322261,ico://sk/00322261,Obec Lascov,
1137,315559,ico://sk/00315559,Obec Lisková,
1138,165841,ico://sk/00165841,Okresný súd Žiar nad Hronom,
1139,36067334,ico://sk/36067334,"Základná škola, Pavla Horova 16, Bratislava",
1140,31786189,ico://sk/31786189,"JUDr. Miriam Bukovčáková, notár",
1527,650307,ico://sk/00650307,Obec Glabušovce,
1141,35984414,ico://sk/35984414,Základná škola pri zdravotníckom zariadení Námestie L. Svobodu 4 Banská Bystrica,
1142,31295169,ico://sk/31295169_10001,ceprvpskemesto,
1143,35540524,ico://sk/35540524,"Materská škola Belehradská 6, Košice",
1144,48485357,ico://sk/48485357_00515,"Správca - Koncová Barbora, Mgr.",
1145,326127,ico://sk/00326127,Obec Bušovce,
1146,35544317,ico://sk/35544317,Základná škola Malá Ida,
1147,35678119,ico://sk/35678119,"Základná škola s materskou školou, Pod Hájom 967, Dubnica nad Váhom",
1148,37831259,ico://sk/37831259,"Základná škola, Kukučínova 480/6, 962 12  Detva",
1149,31780822,ico://sk/31780822,"Základná škola Ostredková 14, Bratislava",
1150,309303,ico://sk/00309303_2,Materská škola - Óvoda Družstevný rad,
1151,35651016,ico://sk/35651016,"JUDr. Ľubomír Kojtal, notár",
1152,34008900,ico://sk/34008900,Základná škola J. Braneckého Trenčianska Teplá,
1153,310158,ico://sk/00310158,Obec Závod,
1154,690741,ico://sk/00690741,Obec Sokoľany,
1155,34057463,ico://sk/34057463,Regionálna veterinárna a potravinová správa Púchov,
1156,48485357,ico://sk/48485357_00287,"Správca - Brož Michal, JUDr.",
1157,35996129,ico://sk/35996129,"Rabčan, obecné služby Rabča",
1158,36081035,ico://sk/36081035,"Základná škola Bélu Bartóka s VJM, Bratislavská, Veľký Meder",
1159,42415209,ico://sk/42415209,"JUDr. Martin Vlha, notár",
1160,165930,ico://sk/00165930,Okresný súd Rožňava,
1161,42221897,ico://sk/42221897,"Základná škola s materskou školou, Krasňany 19",
1162,315532,ico://sk/00315532,Obec Liptovský Ondrej,
1163,330451,ico://sk/00330451,Obec Gribov,
1164,314200,ico://sk/00314200,Obec Povina,
1165,159000,ico://sk/00159000,"Stredná odborná škola - Szakközépiskola, Štúrova, Šaľa",
1166,315362,ico://sk/00315362,Obec Likavka,
1167,37782151,ico://sk/37782151,"Jozef Čurila, notár",
1168,614866,ico://sk/00614866,"Stredná odborná škola pedagogická sv. Márie Goretti, Horná 137, Čadca",
1169,318019,ico://sk/00318019,Obec Bystričany,
1170,690104,ico://sk/00690104,Obec Sopkovce,
1171,319511,ico://sk/00319511,Obec Pôtor,
1172,322857,ico://sk/00322857,Obec Brestov nad Laborcom,
1173,37913654,ico://sk/37913654,"JUDr. Andrea Prudká, exekútor",
1174,30843006,ico://sk/30843006,"Cirkevné konzervatórium, Beňadická 16, Bratislava",
1175,37810880,ico://sk/37810880,Základná škola Limbová Žilina,
1176,37833898,ico://sk/37833898,Základná škola s materskou školou Senohrad,
1177,36145297,ico://sk/36145297,"Základná škola s materskou školou, Štiavnik",
1178,327735,ico://sk/00327735_3,Materská škola Jarková Sabinov,
1179,35564113,ico://sk/35564113,"Základná škola, SNP, Spišské Vlachy",
1180,162175,ico://sk/00162175,"Hotelová akadémia Otta Brucknera, MUDr. Alexandra, Kežmarok",
1181,331317,ico://sk/00331317,Obec Biel,
1182,48485357,ico://sk/48485357_00261,"Správca - Prigancová Marta, Ing.",
1183,37812271,ico://sk/37812271,Základná škola s materskou školou Oščadnica,
1184,37837036,ico://sk/37837036,Základná škola s materskou školou Borský Svätý Jur,
1185,632511,ico://sk/00632511,"Zariadenie pre seniorov a domov sociálnych služieb, Kysucké Nové Mesto",
1186,603147,ico://sk/00603147,Mestská časť Bratislava - Staré Mesto,
1187,310921,ico://sk/00310921,Obec Pečeňany,
1188,160318,ico://sk/00160318,"Gymnázium Pierra de Coubertina, Námestie SNP 9, Piešťany",
1189,36129836,ico://sk/36129836,Základná škola s materskou školou Dolná Poruba 88,
1190,319368,ico://sk/00319368,Obec Kamenné Kosihy,
1191,42064635,ico://sk/42064635,Základná umelecká škola,
1192,48485357,ico://sk/48485357_00632,"Správca - Palčík Tomáš, Mgr.",
1193,329282,ico://sk/00329282,Mesto Krompachy,
1194,648493,ico://sk/00648493,Domov dôchodcov a domov sociálnych služieb Hriňová,
1195,17335761,ico://sk/17335761,Regionálny úrad verejného zdravotníctva Topoľčany,
1196,307378,ico://sk/00307378,Obec Plavé Vozokany,
1197,322733,ico://sk/00322733,Obec Vyšný Tvarožec,
1198,31095704,ico://sk/31095704,Špeciálna základná škola internátna Veľká Čalomija,
1199,35540443,ico://sk/35540443,"Základná umelecká škola - výtvarný odbor, Irkutská 1, Košice",
1200,31786995,ico://sk/31786995,"Materská škola, Miletičova 37, Bratislava",
1201,37810359,ico://sk/37810359,Základná škola s materskou školou Mútne 224,
1202,31897797,ico://sk/31897797,"Cirkevná základná škola s vyučovacím jazykom maďarským sv. Alžbety, Olováry 132",
1203,325228,ico://sk/00325228,Obec Inovce,
1204,37811118,ico://sk/37811118,Základná škola s materskou školou P. V. Rovnianka Dolný Hričov,
1205,48485357,ico://sk/48485357_00390,"Správca - LawService Recovery, k.s.",
1206,305219,ico://sk/00305219,Obec Záhorská Ves,
1207,316032,ico://sk/00316032,Obec České Brezovo,
1208,311073,ico://sk/00311073,Obec Slatina nad Bebravou,
1209,37888706,ico://sk/37888706,Základná umelecká škola Zvolen,
1210,624454,ico://sk/00624454,Centrum pre deti a rodiny Banská Bystrica,
1211,322555,ico://sk/00322555,Obec Richvald,
1212,180271,ico://sk/00180271,Centrum pre deti a rodiny Bernolákovo,
1213,151866,ico://sk/00151866_11001,Krajské riaditeľstvo Policajného zboru v Bratislave,
1214,36126608,ico://sk/36126608,"Základná škola, Východná 9, Trenčín",
1215,30795290,ico://sk/30795290,"Súkromná stredná odborná škola - Gastroškola Bieloruská 1, Bratislava",
1216,37873610,ico://sk/37873610,"Základná škola s materskou školou, Ulič 137",
1217,35568356,ico://sk/35568356,"Spojená škola, Kollárova 17, Sečovce",
1218,42025532,ico://sk/42025532,Okresný súd Partizánske,
1219,735779,ico://sk/00735779,Akadémia Policajného zboru v Bratislave,
1220,158623,ico://sk/00158623,"Hotelová akadémia, Hlinská 31, Žilina",
1221,48485357,ico://sk/48485357_00361,"Správca - Novikmec Marián, JUDr.",
1222,37905112,ico://sk/37905112,"Materská škola, Suvorovova 2797/20, Žilina",
1223,323497,ico://sk/00323497,Obec Runina,
1224,182826,ico://sk/00182826,Knižnica Juraja Fándlyho Trnava,
1225,37810162,ico://sk/37810162,Základná umelecká škola Nižná,
1226,17068215,ico://sk/17068215,Základná škola s materskou školou Tajovského Poprad,
1227,325490,ico://sk/00325490,Mesto Michalovce,
1228,649660,ico://sk/00649660,Obec Vlkyňa,
1229,37872923,ico://sk/37872923,Základná škola s materskou školou Šarišské Jastrabie,
1230,325562,ico://sk/00325562,"Obec Ostrov, okres Sobrance",
1231,160156,ico://sk/00160156,Gymnázium Zoltána Kodálya s vyučovacím jazykom maďarským Galanta,
1232,156906,ico://sk/00156906_10004,Slovenská inšpekcia životného prostredia - inšpektorát ŽP Košice,
1233,614505,ico://sk/00614505,"Základná škola Žofie Bosniakovej, Teplička nad Váhom",
1234,36125300,ico://sk/36125300,Základná škola a materská škola Jána Hollého Pobedim,
1235,308935,ico://sk/00308935_10001,Obec Jasová - matričný úrad,
1236,623695,ico://sk/00623695,Obec Horný Lieskov,
1237,36101061,ico://sk/36101061,Regionálna veterinárna a potravinová správa Nitra,
1238,316211,ico://sk/00316211,Obec Málinec,
1239,156884,ico://sk/00156884,Slovenský hydrometerologický ústav,
1240,35629908,ico://sk/35629908,Základná škola pri zdravotníckom zariadení Smrdáky,
1241,327123,ico://sk/00327123,Obec Chmeľovec,
1242,330353,ico://sk/00330353,Obec Bukovce,
1243,314277,ico://sk/00314277,Obec Rudinská,
1244,305529,ico://sk/00305529,Obec Kráľovičove Kračany,
1245,330779,ico://sk/00330779_10001,Obec Mrázovce,
1246,37876198,ico://sk/37876198,"Základná škola s materskou školou, Kolačkov 31",
1247,42396727,ico://sk/42396727,"Súkromná základná škola - Magán Alapiskola Mikszátha 1, Rimavská Sobota",
1248,17053871,ico://sk/17053871,"Stredná odborná škola kaderníctva a vizážistiky, Svätoplukova 2, Bratislava",
1249,36158097,ico://sk/36158097,"Základná škola s materskou školou, Školská 459/12, Pečovská Nová Ves",
1250,48485357,ico://sk/48485357_00062,"Správca - Todeková Marta, JUDr.",
1251,332071,ico://sk/00332071,Obec Veľké Trakany,
1252,699993,ico://sk/00699993,Slovenské centrum dizajnu,
1253,314099,ico://sk/00314099,Mesto Kysucké Nové Mesto,
1254,648922,ico://sk/00648922,Obec Hvozdnica,
1255,37836722,ico://sk/37836722,"Základná škola, Hlavná 148, Čierny Brod",
1256,320927,ico://sk/00320927,Obec Počúvadlo,
1257,48485357,ico://sk/48485357_00030,"Správca - Jaroš Andrej, JUDr.",
1258,31780784,ico://sk/31780784,"Základná škola, Borodáčova 2, Bratislava",
1259,738336,ico://sk/00738336,Ústav na výkon trestu odňatia slobody Dubnica nad Váhom,
1260,48485357,ico://sk/48485357_00542,"Správca - Žolna Richard, Mgr.",
1261,332631,ico://sk/00332631,Obec Ondavské Matiašovce,
1262,37814681,ico://sk/37814681,Všeobecný rozhodcovský súd SR,
1264,31813933,ico://sk/31813933,"JUDr. Martin Hermanovský, exekútor",
1265,329363,ico://sk/00329363,Obec Matejovce nad Hornádom,
1266,332186,ico://sk/00332186,Obec Zemplínska Nová Ves,
1267,37812823,ico://sk/37812823,Základná škola Lúčky,
1268,37874276,ico://sk/37874276,Základná škola s materskou školou Vlková,
1269,37909509,ico://sk/37909509,"Základná umelecká škola, Kollárovo námestie 31/1, Mošovce",
1270,321575,ico://sk/00321575,Mesto Rajec,
1271,151866,ico://sk/00151866_10234,Okresný úrad Revúca,
1272,30844151,ico://sk/30844151,Rada pre vysielanie a retransmisiu,
1273,305944,ico://sk/00305944,Obec Gáň,
1274,42302498,ico://sk/42302498,"Základná škola s materskou školou Alexandra Vagáča Štúrova 12, Detva",
1275,321214,ico://sk/00321214,Obec Divina,
1276,326682,ico://sk/00326682,Obec Vernár,
1277,649805,ico://sk/00649805,Obec Ratkovská Lehota,
1278,36129712,ico://sk/36129712,Materská škola Beluša,
1279,42090199,ico://sk/42090199,Spojená škola internátna Levoča,
1280,37872940,ico://sk/37872940,Základná škola s materskou školou Veľký Lipník,
1281,606979,ico://sk/00606979,Regionálny úrad verejného zdravotníctva Banská Bystrica,
1282,331791,ico://sk/00331791,Obec Nový Ruskov,
1283,42156424,ico://sk/42156424_10034,UPPVII – TEST,
1284,319058,ico://sk/00319058,Obec Rimavské Janovce,
1285,317594,ico://sk/00317594,Obec Papradno,
1286,99933312,ico://sk/99933312_10001,OJ_TEST_270417,
1287,17070422,ico://sk/17070422,Špeciálna základná škola Jarovnice,
1288,164119,ico://sk/00164119,Školský internát Antona Garbana Werferova 10 Košice,
1289,330086,ico://sk/00330086_10001,Obec Nová Ľubovňa - matričný úrad,
1290,48485357,ico://sk/48485357_00245,"Správca - Jamnická Lenka, JUDr.",
1291,316725,ico://sk/00316725_10002,Materská škola Jazernica,
1292,312398,ico://sk/00312398,Obec Dolná Krupá,
1293,42147719,ico://sk/42147719,"JUDr. Eva Šteinerová ml., exekútor",
1294,689297,ico://sk/00689297,Obec Vyšný Hrabovec,
1295,313998,ico://sk/00313998,Obec Dlhá nad Kysucou,
1296,323772,ico://sk/00323772,Obec Vyšná Jablonka,
1297,308021,ico://sk/00308021,Obec Choča,
1298,48485357,ico://sk/48485357_00562,"Správca - Kovácsová Radoslava, Ing.",
1299,165182,ico://sk/00165182,Ministerstvo kultúry Slovenskej republiky,
1300,323420,ico://sk/00323420,"Obec Porúbka, okres Humenné",
1301,37813455,ico://sk/37813455,Základná škola Kvačany 227,
1302,327794,ico://sk/00327794,Obec Šarišské Dravce,
