_id,ICO,URI,Nazov,Dátum poslednej aktualizácie: 30.6.2019
87,31872026,ico://sk/31872026,Základná škola Jána Hollého Šaľa,
88,160890,ico://sk/00160890,Gymnázium Veľká okružná Žilina,
89,313947,ico://sk/00313947,Obec Závadka nad Hronom,
90,37861425,ico://sk/37861425,"Základná škola s materskou školou, Horná Kráľová",
91,42028353,ico://sk/42028353,Základná umelecká škola Veľký Šariš,
92,35541016,ico://sk/35541016,Košický samosprávny kraj,
93,37833855,ico://sk/37833855,"Základná škola Ivana Branislava Zocha, Jilemnického 3, Revúca",
94,35629061,ico://sk/35629061,Krajská prokuratúra Nitra,
95,331813,ico://sk/00331813,Obec Parchovany,
96,317926,ico://sk/00317926,Obec Záriečie,
97,37861964,ico://sk/37861964,"Cirkevná základná umelecká škola, Stummerova 20, 95501 Topoľčany",
98,31116001,ico://sk/31116001,Centrum pre deti a rodiny Ilava - Klobušice,
99,326721,ico://sk/00326721_10001,Obec Vrbov - Matričný úrad,
100,48485357,ico://sk/48485357_00532,"Správca - Škrabák Peter, JUDr.",
101,36101079,ico://sk/36101079,Regionálna veterinárna a potravinová správa Komárno,
102,306533,ico://sk/00306533,Obec Kravany nad Dunajom,
103,320862,ico://sk/00320862,Obec Malá Lehota,
104,326810,ico://sk/00326810,Obec Bajerovce,
105,17050499,ico://sk/17050499,Spojená škola Martin,
106,151866,ico://sk/00151866_12040,Okresné riaditeľstvo Hasičského a záchranného zboru v Prievidzi,
107,35565233,ico://sk/35565233,"Súkromná pedagogická a sociálna akadémia, Požiarnická 1, Košice",
108,31816037,ico://sk/31816037,"JUDr. Dana Šovčíková, exekútor",
109,649473,ico://sk/00649473,Obec Záborie,
110,699209,ico://sk/00699209,Obec Jacovce,
111,603457,ico://sk/00603457_10001,Stredná odborná škola pre žiakov s telesným postihnutím pri Inštitúte pre pracovnú rehabilitáciu občanov so zdravotným postihnutím,
112,316041,ico://sk/00316041_10002,Obec Divín - Renesančný kaštieľ,
113,37810456,ico://sk/37810456,Základná škola Nábrežie Dr.A. Stodolu Liptovský Mikuláš,
114,34039759,ico://sk/34039759,"JUDr. Beatrix Vargová, exekútor",
115,325198,ico://sk/00325198_10001,Základná Škola Horovce,
116,37910477,ico://sk/37910477,"Základná škola s materskou školou, Hradná, Liptovský Hrádok",
117,162019,ico://sk/00162019,Hotelová akadémia Ľudovíta Wintera Piešťany,
118,31311580,ico://sk/31311580,"JUDr. Ľuboš Sidorják, exekútor",
119,327417,ico://sk/00327417_10002,Materská škola,
120,308277,ico://sk/00308277,Obec Nemčiňany,
121,320684,ico://sk/00320684,Obec Ihráč,
122,647357,ico://sk/00647357,Obec Ležiachov,
123,48485357,ico://sk/48485357_00276,"Správca - Kapolka Miroslav, Ing.",
124,31201431,ico://sk/31201431,"Základná škola Kubranská 80, Trenčín",
125,327824,ico://sk/00327824,Obec Šindliar,
126,306576,ico://sk/00306576,Obec Moča,
127,313033,ico://sk/00313033,Obec Špačince,
128,37877003,ico://sk/37877003,"Základná škola s materskou školou, Hlavná 113/68 Terňa",
129,328634,ico://sk/00328634,Obec Petrovo,
130,316849,ico://sk/00316849,Obec Príbovce,
131,30778956,ico://sk/30778956,"Gymnázium, Pankúchova 6, Bratislava",
132,36080683,ico://sk/36080683,Základná škola s materskou školou Trstín 457,
133,329746,ico://sk/00329746,Obec Vítkovce,
134,31275869,ico://sk/31275869,"JUDr. Daniela Kováčová, notár",
135,37811983,ico://sk/37811983,Základná škola Turany,
136,31780750,ico://sk/31780750,Základná škola,
137,37816951,ico://sk/37816951,"JUDr. Viliam Kőnig, exekútor",
138,318761,ico://sk/00318761,Obec Hostice,
139,313581,ico://sk/00313581,Obec Medzibrod,
140,319279,ico://sk/00319279,Obec Dačov Lom,
141,682357,ico://sk/00682357,"BIBIANA, medzinárodný dom umenia pre deti",
142,35984601,ico://sk/35984601_10001,ceprvpszh,
143,319546,ico://sk/00319546,"Obec Senné, okres Veľký Krtíš",
144,36158429,ico://sk/36158429,"Základná škola, Ulica 8. mája 640/39, Svidník",
145,305235,ico://sk/00305235,Obec Zohor,
146,36080501,ico://sk/36080501,Základná škola s materskou školou Dávida Mészárosa,
147,36101095,ico://sk/36101095,Regionálna veterinárna a potravinová správa Nové Zámky,
148,314161,ico://sk/00314161,Obec Olešná,
149,329975,ico://sk/00329975,Obec Kyjov,
150,37947770,ico://sk/37947770,"Základná škola, Komenského 113, Lipany",
151,159174,ico://sk/00159174,Stredná odborná škola Rakovice,
152,36080756,ico://sk/36080756,"Základná škola s materskou školou, Atómová 1, Trnava",
153,48485357,ico://sk/48485357_00037,"Správca - Bieliková Eva, JUDr.",
154,166073,ico://sk/00166073_10002,MSSR – Rozvoj elektronických služieb súdnictva,
155,166260,ico://sk/00166260_10001,ESKN,
156,31781845,ico://sk/31781845,Základná škola s materskou školou Vývojová 228 Bratislava - Rusovce,
157,34044175,ico://sk/34044175,"Mgr. Silvia Šabíková, exekútor",
158,37873679,ico://sk/37873679,Materská škola Československej armády Snina,
159,48485357,ico://sk/48485357_00172,"Správca - Konkoľ Andrej, Ing.",
160,325554,ico://sk/00325554,"Obec Oreské, okres Michalovce",
161,695041,ico://sk/00695041,Stredná odborná škola obchodu a služieb Čadca,
162,330515,ico://sk/00330515,Obec Jakušovce,
163,332488,ico://sk/00332488_10001,Materská škola Komárany,
